epsilon,status,objective,pg_bus_22,pg_bus_2,pg_bus_1,pg_bus_27,pg_bus_13,pg_bus_23
0.1,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,feasible,580.3568218021685,0.2439749267138697,0.3999999959191081,0.2439750557415081,0.34646001428953593,0.2575900084803914,0.3999999988535922
0.5,feasible,569.1480481378876,0.17832300577235632,0.38466128806874267,0.1783230059804787,0.4464600135136234,0.23132920230218,0.4729034843616581
0.6,feasible,565.4840842053025,0.16328002775362155,0.3395684285296296,0.1632800280734645,0.5464594697251904,0.2253120111673299,0.45410003475004085
0.7,feasible,565.2059663997667,0.15783926663416015,0.3232591925422074,0.15783926670290688,0.5826274841799233,0.2231357066544576,0.44729908328593443
0.8,feasible,565.20596639991,0.15783926176026275,0.32325917793689185,0.1578392617908232,0.5826275166071958,0.22313570470463787,0.4472990772001569
0.9,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.1,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.2,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.3,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.4,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.5,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.6,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.7,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.8,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
1.9,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.1,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.2,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.3,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.4,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.5,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.6,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.7,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.8,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
2.9,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
3.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
3.5,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
4.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
4.5,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
5.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
6.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
7.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
8.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
9.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
10.0,feasible,565.2059663999217,0.15783926207738458,0.3232591773418115,0.15783928527905192,0.5826274923267533,0.22313570538735167,0.4472990775876459
